
Name	Code	Successful Submission	Accuracy
Life, the Universe, and EverythingSolved	TEST	39375	32.06
ATMSolved	HS08TEST	27791	23.3
Enormous Input TestSolved	INTEST	19111	37
FactorialSolved	FCTRL	16317	34.3
Small factorialsUnsolved	FCTRL2	11195	22.34
Holes in the textSolved	HOLES	10850	39.62
Turbo SortSolved	TSORT	7767	22.91
Sums in a Triangle	SUMTRIAN	5865	35.07
The Lead GameSolved	TLG	5827	23.93
Transform the Expression	ONP	5099	44.66
Ambiguous Permutations	PERMUT2	5074	41.85
Yet Another Number GameSolved	NUMGAME	4813	46.66
Double StringsSolved	DOUBLE	4759	60.58
Cooling Pies	COOLING	4435	42.61
Packaging CupcakesSolved	MUFFINS3	3776	58.28
Prime Palindromes	PRPALIN	3737	27.81
Ciel and A-B Problem	CIELAB	3562	48.86
Paying up	MARCHA1	3412	35.37
Ciel and ReceiptSolved	CIELRCPT	3361	60.92
Count of Maximum	MAXCOUNT	3287	37.98
A Very Easy Problem!Solved	EASYPROB	3193	52.84
Cleaning Up	CLEANUP	3075	49.12
Cutting Recipes	RECIPE	3055	48.79
Nuclear Reactors	NUKES	2957	29.31
Birthday Candles	CANDLE	2544	23.7
Little Elephant and Candies	LECANDY	2511	55.18
Buy1-Get1	BUY1GET1	2109	42.25
Permutation Cycles	PCYCLE	1965	41.73
Three Way Communications	COMM3	1947	51.64
Racing Horses	HORSES	1900	45.06
Carvans	CARVANS	1845	45.61
Discrepancies in the Voters List	VOTERS	1821	27.6
GCD2	GCD2	1799	25.57
The Best Box	J7	1783	59.51
Coin Flip	CONFLIP	1723	54.05
Decreasing String	DECSTR	1630	32.81
Number Game RevisitedSolved	NUMGAME2	1599	53.65
Hotel Bytelandia	HOTEL	1583	51.02
Buying Sweets	BUYING2	1564	49.11
Little Elephant and Permutations	LEPERMUT	1543	59.6
Lucky lucky number	CHEFLUCK	1523	44.66
Jewels and Stones	STONES	1429	41.82
Lapindromes	LAPIN	1406	51.88
Chef and Remissness	REMISS	1400	57.7
Open the Dragon Scroll	DRAGNXOR	1377	58.18
Top Batsmen	BESTBATS	1359	44.07
Uncle Johny	JOHNY	1339	56.63
Snape and LadderSolved	SNAPE	1321	60.61
Johnny and the Beanstalk	MARCHA2	1218	27.63
Subtraction Game 1	AMSGAME1	1209	45.17
Arranging Cup-cakes	RESQ	1173	46.21
The Way to a Friends House Is Never Too Long	POINTS	1167	23.72
Little Elephant and Bombs	LEBOMBS	1146	34.8
Chef and The Right Triangles	RIGHTRI	1110	53.91
Not a Triangle	NOTATRI	1098	23.39
Popular Rice Recipe	TIDRICE	1063	50.4
Recipe Reconstruction	RRECIPE	969	36.26
Ups and Downs	ANUUND	968	55.71
Maximum Weight Difference	MAXDIFF	959	32.21
The Ball And Cups	TAVISUAL	926	46.46
Little Elephant and Strings	LUCKYSTR	909	52.46
Tourist Translations	TOTR	908	54.75
Your Name is Mine	NAME2	906	31.69
Splitting Candies	SPCANDY	903	29.8
Code Crazy Minions	NOCODING	883	55.78
Chef and Feedback	ERROR	850	41.09
Lucky Long	LUCKY5	829	47
The Morning Commute	COMMUTE	817	52.58
Divide the Cake	ANUDTC	796	51.59
Attic Crossing	ATTIC	788	50.74
Dividing Stamps	DIVIDING	762	46.41
Fit to Play	PLAYFIT	752	32.94
Correctness of Knight Move	KNIGHTMV	742	24.6
Magic Pairs	ALEXNUMB	739	31.35
Chopsticks	TACHSTCK	733	39.84
Row and Column Operations	ROWCOLOP	714	40.17
The Minimum Number Of Moves	SALARY	712	43.63
Arranging the Appetizers	ARRANGE	706	50.23
A Simple Equation	EQUATION	698	23.15
Reversing directions	DIRECTI	677	47.62
Copy-Paste	RRCOPY	652	46.86
Little Elephant and Divisors	LEDIV	648	21.44
Andrew and the Meatballs	AMMEAT	607	30.59
Chef-jumping	OJUMPS	597	41.65
Code	RRCODE	591	22.49
Spoon in Matrix	SPOON	573	39.23
Lack of Logic	NOLOGIC	569	35.71
Minimum Distance	CIELDIST	562	36
Please like me	PLZLYKME	555	28.83
Sum Queries	RRSUM	554	38.03
Approximately	APPROX	551	51.93
Internet Media Types	MIME2	550	34.34
Daily Train	DAILY	513	46.83
Resistance	RESIST	502	48.93
